fake-openai-1  | fake-openai listening on :8000
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "POST /v1/responses HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
fake-openai-1  | fake-openai: "GET /health HTTP/1.1" 200 -
